ID;RegioS;Perioden;GemiddeldeVerkoopprijs_1
708;GM0360;2003JJ00;
709;GM0360;2004JJ00;
710;GM0360;2005JJ00;
711;GM0360;2006JJ00;
712;GM0360;2007JJ00;
713;GM0360;2008JJ00;
714;GM0360;2009JJ00;
715;GM0360;2010JJ00;
716;GM0360;2011JJ00;
717;GM0360;2012JJ00;
718;GM0360;2013JJ00;
719;GM0360;2014JJ00;
720;GM0360;2015JJ00;
721;GM0360;2016JJ00;
722;GM0360;2017JJ00;
723;GM0360;2018JJ00;
724;GM0360;2019JJ00;
725;GM0360;2020JJ00;
726;GM0360;2021JJ00;
727;GM0360;2022JJ00;
728;GM0482;1995JJ00;76663
729;GM0482;1996JJ00;97615
730;GM0482;1997JJ00;102416
731;GM0482;1998JJ00;110649
732;GM0482;1999JJ00;133865
733;GM0482;2000JJ00;146283
734;GM0482;2001JJ00;172244
735;GM0482;2002JJ00;182776
736;GM0482;2003JJ00;197255
737;GM0482;2004JJ00;204159
738;GM0482;2005JJ00;203787
739;GM0482;2006JJ00;209694
740;GM0482;2007JJ00;225699
741;GM0482;2008JJ00;226449
742;GM0482;2009JJ00;221303
743;GM0482;2010JJ00;229507
744;GM0482;2011JJ00;223250
745;GM0482;2012JJ00;212680
746;GM0482;2013JJ00;190876
747;GM0482;2014JJ00;204392
748;GM0482;2015JJ00;210548
749;GM0482;2016JJ00;213289
750;GM0482;2017JJ00;233036
751;GM0482;2018JJ00;263854
752;GM0482;2019JJ00;268447
753;GM0482;2020JJ00;292610
754;GM0482;2021JJ00;332755
755;GM0482;2022JJ00;368461
756;GM0613;1995JJ00;116676
757;GM0613;1996JJ00;130390
758;GM0613;1997JJ00;150102
759;GM0613;1998JJ00;147784
760;GM0613;1999JJ00;156265
761;GM0613;2000JJ00;184493
762;GM0613;2001JJ00;242446
763;GM0613;2002JJ00;241545
764;GM0613;2003JJ00;245383
765;GM0613;2004JJ00;253426
766;GM0613;2005JJ00;273306
767;GM0613;2006JJ00;303935
768;GM0613;2007JJ00;291251
769;GM0613;2008JJ00;300151
770;GM0613;2009JJ00;289387
771;GM0613;2010JJ00;283348
772;GM0613;2011JJ00;266889
773;GM0613;2012JJ00;287149
774;GM0613;2013JJ00;246855
775;GM0613;2014JJ00;264735
776;GM0613;2015JJ00;267026
777;GM0613;2016JJ00;290565
778;GM0613;2017JJ00;326356
779;GM0613;2018JJ00;351955
780;GM0613;2019JJ00;361942
781;GM0613;2020JJ00;375789
782;GM0613;2021JJ00;452849
783;GM0613;2022JJ00;493052
784;GM0483;1995JJ00;118817
785;GM0483;1996JJ00;140387
786;GM0483;1997JJ00;154551
787;GM0483;1998JJ00;175018
788;GM0483;1999JJ00;185251
789;GM0483;2000JJ00;234687
790;GM0483;2001JJ00;254388
791;GM0483;2002JJ00;277450
792;GM0483;2003JJ00;291477
793;GM0483;2004JJ00;240027
794;GM0483;2005JJ00;239278
795;GM0483;2006JJ00;318351
